Title,Location,Description,Link
Software Developer,"Farm Mutual ReCambridge, ONRemote","Join our Canadian reinsurance company and experience the passion it takes to empower and advance our mutual insurance community!We are currently seeking a .Net Developer (C#) for our IT Department. The successful candidate will be responsible for building .NET applications and microservices APIs (using .NET, .NET Core, Angular, etc.). This individual will also work with Business product owners to come up with efficient solutions to streamline the business processes and will deliver on requirements for new and existing solutions. This role will help to continuously improve tooling and processes and will participate in peer reviews/QA.The Role: The Software Developer’s primary responsibility will be to design and develop our .NET and web applications, and to coordinate with the team working on different layers of the infrastructure. A commitment to collaborative problem solving, sophisticated design, and quality product is essential.We may require you to work nights, weekends, or holidays on a rotational basis to ensure 24x7 coverage. This position will have flexibility with remote/in-office presence or scheduling as needed.As the successful candidate, you will: Be a part of a team of developers to design and program high-performance, scalable multi-tiered applications and database solutionsRecommend and implement system designs based on long-term IT organization strategyWork closely with business and systems analysts, and QA to develop alternative solutions to meet business needsAnalyze production system problems and recommend solutionsInvestigate and solve production problems with minimal guidanceResearch and recommend technologies to the team and management to help keep our tech stack up to dateMentor junior team members in good coding practices and new technologiesYour Skills and Qualifications: At least 3 years of experience with Microsoft .NET Framework / .NET COREAt least 3 years of experience with Microsoft SQL Server and Transact SQLExperience creating backend .Net web services (RESTful APIs) development using C#Understanding of functional and object-oriented programming conceptsA mentality of striving to achieve releases early and adding additional functionality to the releases or pushing code early.Highly motivated team player as well as a strong individual contributorEffective verbal and written communications, with an ability to effectively convey information, concepts, and ideas to othersDegree or diploma in Computer Science or a related fieldJoin Our Team!Recognized as a Top 20 Employer for the Kitchener/Waterloo region and as one of Canada’s Greenest Employers by the Canada’s Top 100 Employers competition, Farm Mutual Re has been operating since 1959. Farm Mutual Re is a general reinsurer, sharing in the property, automobile, liability and other risks originally accepted by insurance companies operating principally in Canada and the United States.But we are more than a reinsurer! We build deep-rooted relationships that drive trust and success. Our relationships are the foundation that helps us empower and advance the mutual insurance community. We take pride in giving back to our community and the environment. We hold ourselves accountable for the promises we make to our members, employees, and business partners.At Farm Mutual Re, we take our values to heart and put them into our work every day. Our office is in Cambridge, Ontario, off the 401, in a state-of-the-art, environmentally friendly building. We support a work from home environment that includes technology and home office furniture support. We focus on the wellness of our employees providing complimentary access to virtual and on-site fitness classes and one-on-one wellness coaching. Our culture is supportive of achieving a balanced, healthy, and family-oriented lifestyle. In addition to a great working environment, we invest in our employees continued professional development, offer a competitive salary, employer-paid benefits, pension plan and more.How to Apply: Don’t miss this opportunity to join our team. Visit our website and complete our Employment Application.In accordance with our company values, Farm Mutual Re is committed to creating an equitable, diverse, and inclusive work environment for all, regardless of race, colour, religion, gender, gender identity, sexual orientation, national origin, or age. Farm Mutual Re is committed to providing accommodations and to achieving a barrier-free workplace for individuals with disabilities. Should you require an accommodation to participate in our recruitment process, we will support you by considering your individual accessibility needs. Job Types: Full-time, PermanentSalary: $80,000.00-$120,000.00 per yearBenefits:Casual dressCompany eventsCompany pensionDental careDisability insuranceEmployee assistance programExtended health careFlexible scheduleLife insuranceOn-site gymOn-site parkingPaid time offWellness programWork from homeSchedule:Monday to FridayWork remotely:Yes",https://ca.indeed.com/company/Farm-Mutual-Re/jobs/Software-Developer-721f110f15c9ffe1?fccid=771333731941d58b&vjs=3
"Software Developer, Summer 2022 (Co-op/Internship) - 4 month","BMO Financial Group2,486 reviews100 King St W, Toronto, ON","Address:
100 King Street West
Job Family Group:
Technology
As a co-op/intern student at BMO, you will have the opportunity to be heard, keep growing and make a difference. You will be part of our campus program to gain the skills and knowledge needed to take on roles similar to the description listed below.
Our student experience is designed to integrate you to the BMO team from day one by adding value in the work you do. You will have the opportunity to participate in programs such as the Women in Technology Mentorship Program, BMO First Friend peer assignment, BMO Social Squad student-led activities, BMO U corporate learning platform and access to various Employee Resource Groups to further develop your network within BMO.
Interested in learning more about our campus program? Stay up-to-date with BMO Campus Recruitment by following us on Twitter @BMOonCampus & Instagram @BMO_on_Campus .
Note: Only students currently enrolled in an academic program and returning to their studies will be considered for Co-op/Internship opportunities. Student who recently graduated are invited to apply to our New Grad opportunities which are available at https://jobs.bmo.com/ca/en/new-grad
To apply for this opportunity, please submit your cover letter, resume and an unofficial copy of your academic transcript. By applying for this general posting, you will be considered for a number of different student opportunities across multiple locations. If you are selected to move forward, you will be provided additional information.
Understands that the success of a developer is to understand the core business processes of the business unit and business requirements as well as the architecture patterns and technology strategy (e.g., Transformation, SmartCore, DevOps). Conceive and write detailed software implementations/code while ensuring that their code/configurations adhere to the security, logging, error handling, and performance standards and non-functional requirements. Writes, configures, and integrates code to create the software that aligns with architecture patterns and technology strategy. Understands the implications of various components (including technology strategy & architecture) to the overall design of a program, system, or eco-system. Evaluates new technologies for fit with the program/system/eco-system and the associated upstream and downstream impacts on process, data, risk (e.g., security). Works toward the objective of defect free software. Ensures that systems functionally meet requirements, align with architecture and promote the development of common assets. Supports the resolution of production issues and problems. Makes recommendations to improve BMO processes & systems.
Supports research and development of development frameworks, and definition of standards.
Leads and implements initiatives as required to deliver business objectives.
Conducts independent analysis and assessment to resolve strategic issues.
Builds effective relationships with internal/external stakeholders and ensures alignment.
Monitors and tracks performance, and addresses any issues.
Reviews the work of other team members as required.
Provides input into the planning and implementation of operational programs.
Decomposes business requirements and translates them into detailed design specifications and code.
Interacts with key business & technology stakeholders to define, analyze, and deliver requirements that reflect the needs of both the business and end-customers.
Assesses the costs and benefits for different solutions and recommend/decide on appropriate designs.
Designs solutions, writes code, performs unit testing, develops appropriate artefacts / documentation, and facilitates final delivery.
Supports production issues, includes independently completing root-cause analysis and diagnosis.
Devises new algorithms and data structures for target environment and platform attributes in alignment with architectural patterns.
Builds solutions that are supportable, scalable and achieve our aspiration of common assets.
Recommends or automates approaches to streamline and integrate technological processes and/or systems to improve operational efficiency and effectiveness.
Supports the management of specific project deliverables & outcomes.
Identifies opportunities to strengthen the development capability, such as: sharing expertise to promote technical development, mentoring employees, building communities of practice and networks.
Stays abreast of industry technical and business trends through participation in professional associations, practice communities & individual learning.
Focus is primarily on business/group within BMO; may have broader, enterprise-wide focus.
Exercises judgment to identify, diagnose, and solve problems within given rules.
Works independently on a range of complex tasks, which may include unique situations.
Broader work or accountabilities may be assigned as needed.
Qualifications
As a full-time employee, we would require 2-4 years of experience, however as part of the BMO campus program, we are looking for motivated individuals with a strong desire to learn.
Knowledge of software development practices, concepts, and technology obtained through formal training and/or work experience.
Knowledge of required programming languages and can code with little oversight.
Knowledge of technical/business environment and processes.
Understand functional aspects and technical behavior of the underlying operating system, development environment, and deployment practices.
Have facility with and understanding of the ecosystem that code operates in.
Technical proficiency gained through education and/or business experience.
Verbal & written communication skills - In-depth.
Collaboration & team skills - In-depth.
Analytical and problem solving skills - In-depth.
Influence skills - In-depth.
Data driven decision making - In-depth.
We’re here to help
At BMO we are driven by a shared Purpose: Boldly Grow the Good in business and life. It calls on us to create lasting, positive change for our customers, our communities and our people. By working together, innovating and pushing boundaries, we transform lives and businesses, and power economic growth around the world.
As a member of the BMO team you are valued, respected and heard, and you have more ways to grow and make an impact. We strive to help you make an impact from day one – for yourself and our customers. We’ll support you with the tools and resources you need to reach new milestones, as you help our customers reach theirs. From in-depth training and coaching, to manager support and network-building opportunities, we’ll help you gain valuable experience, and broaden your skillset.
To find out more visit us at https://jobs.bmo.com/ca/en .
BMO is committed to an inclusive, equitable and accessible workplace. By learning from each other’s differences, we gain strength through our people and our perspectives. Accommodations are available on request for candidates taking part in all aspects of the selection process. To request accommodation, please contact your recruiter.",https://ca.indeed.com/rc/clk?jk=8d87d82ddbfcc617&fccid=3a429036b3725efa&vjs=3
Spring 2022 Software Developer Co-Op/Intern,Vidyard9 reviewsRemoteRemote,"Spring 2022 - Software Developer Co-Op/Intern

Vidyard is looking for incredible talent to join our engineering team and play a critical role as we continue to build and improve our video platform. Our engineering team is composed of generalists who strive to maintain both front and back end expertise. If you are a generalist, who is looking to work on and own full features and make a significant impact during your spring co-op term - we'd love to chat!

Past projects our co-ops have worked on include: revamping our video player interface, developing new data integrations into other platforms, creating new user dashboards and tools, and improving video recording tools. We encourage developers to tackle problems that align with their skills and interests.

Please note:

This job posting is for Spring 2022 (May-August) Software Developer Co-Ops ONLY, for all other campus inquiries please send your information to campusrecruitment@vidyard.com.
This role will be remote. Co-Ops/Interns must reside and work from Canada for the duration of their term.

To be an effective team member, you will have experience with some of the following technologies:
Ruby on Rails, Node.js or other MVC web frameworksJavaScript, Vue.js, React, jQueryHTML, CSSMySQL or other relational databasesGit & GithubRedis or other NoSQL databasesAutomated testing with RSpec or similarInteracting with and building web APIs/servicesAmazon EC2 and HerokuPHP, Python or other scripting languages would be an asset",https://ca.indeed.com/rc/clk?jk=c215b9bc58d59216&fccid=481922bac21917d5&vjs=3
Montreal - Junior Software Developer,"FDM Group151 reviewsMontréal, QC","Find out about FDM’s Coronavirus (COVID-19) preparations here.
Note: Please only submit one application, even if you are interested in more than one opportunity. A recruiter will speak to you about all options available after we review your application. Please note this role is part of our graduate program.
-
Our people are our passion at FDM. That’s why we make your training and career growth a priority. Since 2014, we have launched the careers of over 1,000 junior software developers in Canada. FDM is currently seeking numerous ambitious and driven candidates with the aptitude for IT to work as FDM consultants. We help people like you make their first step into tech every day. Are you ready to make yours?
About This Role
As a Junior Software Developer with FDM, you will undergo industry specific training and continue your career journey as an FDM consultant by working for one of our globally recognized clients. Some common positions you could take on include Front-end Developer, Back-end Developer, Full Stack Developer, DevOps Engineer and more.
As a Software Developer your main role will be to solve problems, upgrade existing systems and improve efficiency for the overall success of large software development projects. You will use your coding and creative thinking skills to impact the development and delivery of technological solutions for businesses. Your range of responsibilities will include writing, developing, testing and reviewing code in order to optimize existing applications and fixing defects.
This position is ideal for final year students hoping to secure an entry-level job upon graduation. No previous qualifications or STEM Field experience is required.
Minimum Qualifications
Degree or Diploma (preferably in Computer Science, Engineering, Mathematics, or similar)
A natural aptitude for technology and a strong desire to expand your technical skill set.
Exposure or familiarity with one or more programming languages (Python, JavaScript, Java, C, C++, C#).
Exposure to one or more operating systems (Microsoft, Linux).
Understanding of database and SQL.
Able to commit to work for FDM for a minimum of two years working as an FDM consultant following the training period.
Ability to communicate effectively in French (preferred) and English
Eligible to work in Canada.
Benefits
A chance to work for some of the most prestigious companies in the world.
Opportunity to earn professional certifications related to your career path.
Two-year contract in industry.
Continuous career support and upskilling from FDM.
Comprehensive and competitive benefits package.
Access to a network of mentors and like-minded individuals.
Industry recognized paid training.
About the FDM Career Development Program
FDM’s Career Development Program is a great way for students to enter the job market upon graduation. At FDM, we train the brightest talent to become the innovators of tomorrow. Technology makes the world a better place and we believe passion, drive and curiosity are what you need to have a successful career in tech. This is why we do not require any previous experience to join FDM’s Career Development Program.
FDM’s two-year program begins with training in one of our career streams in business and technology that are in high demand in the job market. We will provide you with the industry-specific technical and professional skills you need in your chosen stream, after which you will start working as an FDM Consultant with our globally recognized clients.
Upon completion of the program, many graduates see their journey with FDM culminating in an accelerated career progression, better placing them to apply for senior roles within the industry.
Diversity and Inclusion
Diversity and inclusion are at the heart of what we value as an organization. FDM is a globally recognized organization with centers across seventeen countries globally. We are proud to celebrate our employee backgrounds consisting over 85 nationalities.
FDM Group is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, national origin, age, disability, veteran status or any other status protected by federal, provincial or local laws.
#INDFDM",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoGJ3FhSf7dhFGvy5sYyRubsLXxFGZ6DHZ715svUkxWwSAQi_2jkKao7Gl3krrOVMk4AwpM-meFJUXjEBl7oD6eeSEoolUhuGjMHzvBTZpw5RGSeFYLLrWBp7iOHqL-PGebuHx2S91fhFjZWV0z2KIgp_kJ773-Hh6zQL3UQrdsvIOcq_SD0C7w8lBZ2NRuO-nwXmxLRqTFYgPLk2HBw5AM0eTh4Rv-7s3cPgA2D1_3yzmsi59af_-HiLTS1hWWDepL995p0FQfMsvjf0cQsfG0ujD5EwBoAlYsZODG_vodZSEuP0KYbzpXXMV0blcscilP6ojKAG8HEfKr3poxZ4XC9eQjBPFnodVdYQ-JM6CMfgtDg8J6zR8qYy-gYvMJ1GSEor766Og_J9r7ppuPX4Vhi9lgAp-93j7yEsit96wklQJOkEjtueMvbPMCVDvWEf7oSIJNu20Ydz2MoOTaqvc_VDpW1rDMlR6rTFjqury61zxsSqMvogcIq_AAxW7mkkJwtHSpRmLAUSRbdaCCarBzanKSue05zoJDdatIkiT7GswazrsY1OCJZTtwSO6gkIzzdESXmjV0y9e8S06E5vxLxTZBkqZs57ji7yq0qXjzAEVPnv9YNSNezaRsA887QZaUEEB5fJPMw==&p=7&fvj=0&vjs=3
Intern- Full Stack Software Development,"ActalentMontréal, QCRemote","Position Summary: The Software Development Intern will work in an agile-driven team and be responsible for the design and development of a daily company-wide used application that is geared towards machine learning and big data. Implement different parts of the application from the user interface to data management. The current stack is React, NodeJS, MySQL and Python. This role will support Actalent’s Full Stack Software Developers.Actalent is a global leader in engineering services and is part of the Allegis Group, North America’s largest privately-held Human Capital Solutions company. Actalent has over 35 years’ experience in engineering services and launched its Canadian operations in 2015, having experienced significant growth year over year since then. Actalent Montreal supports multiple clients in a variety of industries and is based out of a state-of-the-art engineering center in Ville Saint-Laurent, easily accessible by public transportation. We are currently looking to hire an intern who will support our System and Software (SAS) teams. This person will initially be hired in a contractual role but will have exposure to multiple other long-term opportunities with the organization.In addition to proficiency in software development and with databases, success in this role requires curiosity, eagerness and willingness to learn to deliver high quality work.e solutionsPrimary Duties and Responsibilities: · Design, develop, maintain and improve software· Collect needs and specify the new functionalities to be implemented· Build reports/dashboards using data visualization tools· Assist in software testing· Work with the team to create and update project related documentation such as best practices, checklists, guidelines etc.· Prepare presentations for internal and external stakeholders· Understand and support Actalent’s QMS (Quality Management System)Perform other work-related duties as required by managementEducation and Experience Requirements: · Student in software engineering, computer science or any related fieldsTechnical Skills: Required· JavaScript Framework (React, Angular or similar)· Object Oriented Programming (OOP) fundamentals· Knowledge of SQL language· Knowledge of the Git distributed version control systemWould be a plus· Understanding Python (Numpy, Pandas)· Knowledge of Docker· Familiarity with data visualization tools (Tableau, PowerBI)· Some data analysis skillsNon-Technical Skills: · Ability to quickly learn new technologies and tools· Good time management and prioritization skillsAbility to independently solve problems and come up with creative solutionsJob Types: Full-time, Temporary, Internship / Co-opSalary: $18.00-$20.00 per hourBenefits:Casual dressCompany eventsDental careDiscounted or free foodEmployee assistance programExtended health careFlexible scheduleOn-site parkingPaid time offVision careWork from homeSchedule:Monday to FridayExperience:JavaScript framework (React, Angular etc): 1 year (preferred)SQL: 1 year (preferred)academic software or electrical engineering studies: 1 year (preferred)",https://ca.indeed.com/company/Actalent/jobs/Intern-e9d9d7b07ca399c4?fccid=e824ff93afd355d7&vjs=3
"developer, software","Ranakan IncToronto, ON","Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the collection and documentation of user's requirements
Assist in the development of logical and physical specifications
Maintain existing computer programs by making modifications as required
Programming Languages
MySQL
Java
SQL
React.js
Git",https://ca.indeed.com/rc/clk?jk=296ecd88e048d3d5&fccid=6a2c6f068d224400&vjs=3
Student Internship - Junior Developer,"JovacoMontréal, QC","About us

A leader in the business applications space in Quebec, JOVACO Solutions has made its mark of quality products and services over the past 35 years. We want to continue shaping the future of ERP and CRM business management systems and their development, implementation, and deployment. As such, we are committed to the development of our expertise and to our continuous learning and growth. The members of our team share our values of authenticity, commitment, know-how, and humanism, creating a work environment where our employees are proud of their work and motivated by ever-changing technologies.

What is it like, working at JOVACO?

Intern or new graduate, you will become a part of the JOVACO family and have the chance to acquire knowledge and experience before choosing a specialization. You will work on actual projects, solve real problems, and receive learning feedback to enrich your career path. We will provide you all the tools you need to have a positive impact on your professional growth.

About the development team

JOVACO developers build business management applications within a dynamic team motivated by diverse projects and proud to develop solutions for high-profile clients. They solve complex issues related to scalability, growth, and usability, and are accountable for their own productivity. Reporting to the Innovation & Technology Director, our team of developers focuses on providing an excellent user experience by building cutting-edge, effective, and reliable systems. Figuring out how to get there? That’s where the fun begins!

Your contribution
Take part in the design, development and evolution of our web applications
Collaborate with the web development team and the product management team
Be involved in meetings and the Scrum process
Work with programming languages and frameworks such as C#, TypeScript, .Net and Angular
Work with SQL Server databases
Work with the Azure DevOps development infrastructure platform",https://ca.indeed.com/rc/clk?jk=0055b184c0ad21d6&fccid=3ea7cb08dfdd7e50&vjs=3
Apprentice Software Engineer (NE),VSP Global CareersRemoteRemote,"Partner in the development, testing and implementation, and technology delivery for business needs throughout VSP Global.
Partner in the coding/development/maintenance, testing and implementation of systems.
Partner in the design of solutions to solve business problems while learning the business functions supported by the system.
Minimum Qualifications
Bachelor’s Degree in Computer Science or related field or equivalent experience.
Minimum 1 year of programming experience.
Programming experience in one or more current programming languages.
Excellent analytical and problem-solving skills for simple problems.
Excellent written and verbal communication skills.
Exercises discretion and independent judgment in the performance of his/her job duties.
VSP Global is an equal opportunity employer and gives consideration for employment to qualified applicants without regard to age, gender, race, color, religion, sex, national origin, gender identity, sexual orientation, disability or protected veteran status. We maintain a drug-free workplace and perform pre-employment substance abuse testing.",https://ca.indeed.com/rc/clk?jk=6b72a6eb1610db5d&fccid=da7cff44a262df7f&vjs=3
Software development intern (Winter 2022),"GSOFTMontréal, QC","Company DescriptionWe are GSoft, the independent software company behind a family of products that make work easier, more human and more efficient. We create products designed for distributed work that make a real difference in the lives of thousands of customers in over 100 countries.Job Description*LIFE AT GSOFT*With us, you will be able to express yourself, evolve and develop your creativity in an inspiring, people-first environment that adapts to the lives and needs of our team. Our vision is to play a significant role in the many changes facing the world of work today. To do this, we must lay the groundwork for person-to-person connection, fly blind from time to time and invite chaos into our methods so that nothing ever stagnates. GSoft is like a laboratory: we’re constantly exploring new things, so we must believe in each other and stand together in success and in failure.WHAT TO EXPECTIn 2020, the global pandemic forced organizations to rethink how they work. At GSoft, the solution was clear: make remote working the norm for all our employees. What we didn’t want to lose was the unique culture and atmosphere that has been a part of us since we launched, so we made sure to implement concrete measures to recreate a distanced version of the work environment that is one of our greatest strengths.As an intern at GSoft, you will be a full member of one of our two product teams, ShareGate or Officevibe. You will be able to count on an extremely competent team of developers who will be there to help you evolve during your internship. Communities of practice will also guide you in your learning and allow you to learn more about the most current technologies.You will have the chance to develop new functionalities (from design to coding, with iteration testing between), resolve complex optimization and performance issues, participate in all the steps to ensure quality right up to production launch and experience numerous development phases using the Agile method.Tools we use on the dailyC#, ASP.net, React, NodeJS, Webpack, Crucible, Azure DevOps, TeamCity, Visual Studio, Scrum, Jira, TrelloQualificationsWe’re currently recruiting interns for the winter session!You are currently learning, and you need to stop to explore what you’ve assimilated by diving into the reality of a programming role.You are an enrolled student and this experience is to complement your academic career.You have completed at least one internship or gained technical experience in a similar role.You understand French and English, spoken and written.You master the technical programming concepts and you can put them into practice (Object Oriented, basic programming patterns, etc.).You have an analytical mindset and you are able to explain your thoughts.You demonstrate your passion and your motivation in your personal projects or your participation in competitive events.You are autonomous in your experimentation.Additional InformationAt GSoft, we build together, we trust each other, and we support each other in success or failure.We strive to create a healthy and inclusive work environment. This is everyone’s business.Our Candidate Experience process at GSoft : Virtual Interview by Teams - Technical Test - Internship OfferWe are looking forward to get to know you!Location: 1751 Rue Richardson, Montréal, QCJob Types: Internship, Apprenticeship",https://ca.indeed.com/company/GSOFT/jobs/Software-Development-Intern-174da9786c96d3aa?fccid=fac5cdae616aa628&vjs=3
Software Developer,"Google3,981 reviewsMontréal, QC","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Waterloo, ON, Canada; Montreal, QC, Canada.
Minimum qualifications:

Bachelor’s degree or equivalent practical experience.
3 years of software development experience, or 1 year with an advanced degree.
Experience in Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience in web/mobile application development, Unix/Linux environments, distributed/parallel systems, information retrieval, networking, or systems/security software development.
Preferred qualifications:

Master's degree, PhD degree, further education or experience in Computer Science or a related technical field.
Experience with cloud development (AWS, Azure, Watson, etc.).
Experience with kubernetes.
Ability to write in English fluently.
Ability to learn other coding languages as needed.
About the job
Google's software developers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for software developers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our software developers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

Google aspires to be an organization that reflects the globally diverse audience that our products and technology serve. We believe that in addition to hiring the best talent, a diversity of perspectives, ideas and cultures leads to the creation of better products and services.
Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.
Responsibilities
Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",https://ca.indeed.com/rc/clk?jk=eecfe6e3ea2ea3c5&fccid=a5b4499d9e91a5c6&vjs=3
Spring 2022 - Software Developer Intern,"Konrad9 reviewsVancouver, BCRemote","Konrad

Konrad is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.

Software Developer Intern

As a Software Developer Intern you'll be paired up with a mentor working on both the front end and back end of our web or mobile applications. Working within the software development team, your duties will require you to assist in the development of consumer and enterprise applications. This role is ideal for entry level developers who feel confident in their technical ability and want to contribute to and learn from the highly-skilled development team at Konrad for the duration of their internship.

Responsibilities

Write maintainable, testable, and performant software in collaboration with our world class team
Participate in code review and performing extensive testing to ensure high quality software
Research new technology and tools and share those findings with the team
Communicate clearly and effectively with all members of our team

Successful candidates will have

Started and currently be enrolled in a Computer Science, Software Engineering, or similar program in a University or College
Strong command of important core programming and computer science concepts
Fundamental knowledge of core web principals (HTTP, browsers, the DOM, SSL, web servers)
Good understanding & experience in HTML/CSS/JavaScript or native Android/iOS development
Great interpersonal skills - we work very closely together as a team and require a lot of communication
Proactive personality, and a desire to deliver your best work
A love for improving software development workflows/process

Perks and Benefits

Mentorship Program
Campus Ambassador Program
Service Recognition Programs
Socials, Outings & Retreats
Culture of Learning & Development
Flexible Working Hours
Work from Home Flexibility

Bonus Points: Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!

Konrad is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.

While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.",https://ca.indeed.com/rc/clk?jk=55828df3a9db739f&fccid=0d0aa2b77d8a011b&vjs=3
Toronto - Junior Software Developer,"FDM Group151 reviewsToronto, ON","Find out about FDM’s Coronavirus (COVID-19) preparations here.
Note: Please only submit one application, even if you are interested in more than one opportunity. A recruiter will speak to you about all options available after we review your application. Please note this role is part of our graduate program.
-
Our people are our passion at FDM. That’s why we make your training and career growth a priority. Since 2014, we have launched the careers of over 1,000 junior software developers in Canada. FDM is currently seeking numerous ambitious and driven candidates with the aptitude for IT to work as FDM consultants. We help people like you make their first step into tech every day. Are you ready to make yours?
About This Role
As a Junior Software Developer with FDM, you will undergo industry specific training and continue your career journey as an FDM consultant by working for one of our globally recognized clients. Some common positions you could take on include Front-end Developer, Back-end Developer, Full Stack Developer, DevOps Engineer and more.
As a Software Developer your main role will be to solve problems, upgrade existing systems and improve efficiency for the overall success of large software development projects. You will use your coding and creative thinking skills to impact the development and delivery of technological solutions for businesses. Your range of responsibilities will include writing, developing, testing and reviewing code in order to optimize existing applications and fixing defects.
This position is ideal for final year students hoping to secure an entry-level job upon graduation. No previous qualifications or STEM Field experience is required.
Minimum Qualifications
Degree or Diploma (preferably in Computer Science, Engineering, Mathematics, or similar)
A natural aptitude for technology and a strong desire to expand your technical skill set.
Exposure or familiarity with one or more programming languages (Python, JavaScript, Java, C, C++, C#).
Exposure to one or more operating systems (Microsoft, Linux).
Understanding of database and SQL.
Able to commit to work for FDM for a minimum of two years working as an FDM consultant following the training period.
Eligible to work in Canada.
Benefits
A chance to work for some of the most prestigious companies in the world.
Opportunity to earn professional certifications related to your career path.
Two-year contract in industry.
Continuous career support and upskilling from FDM.
Comprehensive and competitive benefits package.
Access to a network of mentors and like-minded individuals.
Industry recognized paid training.
About the FDM Career Development Program
FDM’s Career Development Program is a great way for students to enter the job market upon graduation. At FDM, we train the brightest talent to become the innovators of tomorrow. Technology makes the world a better place and we believe passion, drive and curiosity are what you need to have a successful career in tech. This is why we do not require any previous experience to join FDM’s Career Development Program.
FDM’s two-year program begins with training in one of our career streams in business and technology that are in high demand in the job market. We will provide you with the industry-specific technical and professional skills you need in your chosen stream, after which you will start working as an FDM Consultant with our globally recognized clients.
Upon completion of the program, many graduates see their journey with FDM culminating in an accelerated career progression, better placing them to apply for senior roles within the industry.
Diversity and Inclusion
Diversity and inclusion are at the heart of what we value as an organization. FDM is a globally recognized organization with centers across seventeen countries globally. We are proud to celebrate our employee backgrounds consisting over 85 nationalities.
FDM Group is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, national origin, age, disability, veteran status or any other status protected by federal, provincial or local laws.
#INDFDM",https://ca.indeed.com/rc/clk?jk=9882026a5985fc6e&fccid=2525ee368b671cd8&vjs=3
